tr_id,p_id,c_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,tr_date,product_first_sold_date
1,2,2950,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,2017-02-25,2012-12-02
2,3,3120,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-05-21,2014-03-03
3,37,402,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-10-16,1999-07-20
4,88,3135,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2017-08-31,1998-12-16
5,78,787,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-10-01,2015-08-10
6,25,2339,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-03-08,2006-11-10
7,22,1542,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,2017-04-21,1993-07-15
8,15,2459,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-07-15,2009-04-12
9,67,1305,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,2017-08-10,1991-08-05
10,12,3262,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-08-30,2004-08-17
11,5,1986,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2017-01-17,2011-08-29
12,61,2783,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2017-01-05,2015-06-17
13,35,1243,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2017-02-26,1994-07-12
14,16,2717,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2017-09-10,1994-09-09
15,12,247,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2017-06-11,2004-07-25
16,3,2961,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-10-10,2003-09-09
17,79,2426,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2017-04-03,2004-08-07
18,33,1842,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-06-02,1992-10-11
19,54,2268,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-04-06,2009-04-12
20,25,3002,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-01-28,2002-03-22
21,27,1582,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-10-09,1999-06-23
22,37,595,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-06-29,1999-07-20
23,37,2001,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2017-04-08,2015-05-21
24,82,515,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-10-18,2016-02-04
25,89,2822,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2017-06-11,1993-04-20
26,64,2596,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-01-10,2015-05-21
27,64,2666,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2017-04-11,2012-05-18
28,19,76,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2017-12-23,2016-07-09
29,72,3368,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2017-10-13,2016-12-06
30,91,1173,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2017-03-15,2014-10-10
31,88,2810,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2017-09-05,2002-10-10
32,1,3214,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-02-18,2016-11-14
33,25,1272,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2017-03-20,2016-02-04
34,99,2003,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2017-02-28,2006-10-01
35,0,2171,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-08-20,2005-10-22
36,92,3356,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2017-07-07,2003-09-10
37,14,1040,FALSE,Approved,Solex,Standard,high,large,1842.92,1105.75,2017-01-09,1995-10-24
38,2,2916,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,2017-12-06,1991-11-07
39,12,427,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2017-09-12,2005-12-07
40,0,2448,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2017-11-28,2005-10-22
41,44,2570,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2017-05-08,2003-02-16
42,79,3398,FALSE,Approved,Solex,Touring,medium,large,2083.94,675.03,2017-05-14,2013-09-16
43,76,488,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2017-03-17,2014-10-10
44,46,165,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,2017-12-22,2003-02-16
45,55,2787,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2017-06-07,2015-06-17
46,66,3053,FALSE,Approved,Solex,Standard,medium,medium,1163.89,589.27,2017-06-20,2016-07-09
47,35,475,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2017-05-07,1994-07-12
48,81,1305,TRUE,Approved,Solex,Standard,medium,medium,1151.96,649.49,2017-06-10,2012-04-10
49,86,1251,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-06-17,2004-08-07
50,32,3103,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2017-05-10,2002-03-22
51,77,3108,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2017-03-24,2011-01-10
52,96,857,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2017-11-27,2007-12-11
53,6,3455,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2017-12-21,1991-11-07
54,27,2549,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-02-09,1994-07-12
55,0,3140,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2017-09-18,2005-05-10
56,47,3406,FALSE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2017-11-14,1997-02-09
57,94,2294,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2017-08-30,2013-06-09
58,91,1031,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,2017-11-14,1999-07-26
59,93,993,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2017-02-15,2006-02-02
60,60,3473,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2017-12-18,2014-07-28
61,0,1839,FALSE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2017-02-24,1993-10-02
62,33,1824,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-12-18,1992-10-11
63,35,368,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-12-17,2016-11-14
64,0,2000,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-07-08,2006-11-10
65,28,825,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2017-05-16,2016-11-22
66,86,3315,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-02-23,1999-07-26
67,2,75,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,2017-07-03,2012-12-02
68,4,1498,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2017-09-30,2004-09-28
69,38,1612,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2017-10-21,2012-09-15
70,27,2192,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-05-06,1999-06-23
71,54,419,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2017-01-03,2009-04-12
72,77,3307,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2017-05-09,2011-05-09
73,22,2430,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,2017-07-23,1993-07-15
74,56,1506,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,2017-01-21,1997-10-04
75,58,1346,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2017-06-20,2015-10-18
76,22,927,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,2017-03-10,1991-11-10
77,50,763,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2017-06-02,2003-02-16
78,80,2397,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2017-11-07,1998-12-16
79,87,102,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,2017-09-12,1997-08-25
80,15,2884,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2017-12-16,2005-12-07
81,84,759,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2017-10-07,1992-10-02
82,21,773,TRUE,Approved,Solex,Standard,medium,large,1071.23,380.74,2017-04-27,2011-05-07
83,0,3398,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-04-01,2003-01-05
84,33,3297,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-11-02,1992-10-11
85,84,2434,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2017-02-13,2004-12-18
86,1,1861,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2017-07-19,2004-09-28
87,27,1233,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2017-05-23,1991-08-05
88,31,1390,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2017-08-06,1993-04-20
89,0,2682,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2017-04-04,2010-05-05
90,62,439,TRUE,Approved,Solex,Standard,medium,medium,478.16,298.72,2017-08-15,1993-06-23
91,17,1579,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,2017-04-15,1996-04-05
92,73,2984,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,2017-07-25,2000-05-22
93,33,3470,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2017-11-28,1999-12-04
94,86,1,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2017-12-23,2005-05-10
95,45,757,FALSE,Approved,Solex,Standard,medium,medium,441.49,84.99,2017-02-26,1993-04-12
